Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,65.5693658537,65.9880243902,66.3655365854,66.7139756098,67.0442926829,67.3697560976,67.699,68.0346829268,68.3771463415,68.7284146341,69.0861463415,69.446097561,69.7986585366,70.1396585366,70.4652926829,70.777804878,71.0808292683,71.3777073171,71.6697804878,71.9528536585,72.2201463415,72.4623414634,72.673195122,72.8490243902,72.9897560976,73.0979756098,73.1793658537,73.2427073171,73.2962439024,73.3444878049,73.3899756098,73.4331219512,73.4717560976,73.5053170732,73.5357560976,73.5636097561,73.5894390244,73.614804878,73.6422926829,73.6753902439,73.7206097561,73.782902439,73.8652439024,73.9685609756,74.0908536585,74.2280731707,74.3757073171,74.5262439024,74.6742195122,74.8161463415,74.9520243902,75.0803902439
Afghanistan,AFG,31.5800487805,32.0959756098,32.6118780488,33.1273170732,33.6412439024,34.1536829268,34.6631219512,35.1700731707,35.6720243902,36.1699756098,36.6594390244,37.1394146341,37.6088780488,38.0693414634,38.5232926829,38.9702682927,39.4107317073,39.8477073171,40.2906829268,40.7481707317,41.2336585366,41.7606341463,42.3356097561,42.9630487805,43.6444878049,44.379902439,45.168804878,45.9972195122,46.8501463415,47.7115853659,48.5670487805,49.4045609756,50.2131219512,50.9852439024,51.7093902439,52.3750731707,52.9727804878,53.5084878049,53.992195122,54.4328780488,54.8485609756,55.2562195122,55.6718780488,56.1075609756,56.5697317073,57.0584390244,57.5706585366,58.0913658537,58.607097561,59.1123414634,59.600097561,60.0653658537
Angola,AGO,32.9848292683,33.3862195122,33.7875853659,34.1884634146,34.5903414634,34.9922195122,35.395097561,35.7999756098,36.2058536585,36.6102439024,37.0151219512,37.4210243902,37.8269268293,38.2268292683,38.6137804878,38.975804878,39.301,39.5813658537,39.8158536585,40.0053902439,40.1592439024,40.2886585366,40.408,40.5282439024,40.6539512195,40.7777804878,40.8874878049,40.9738780488,41.0377073171,41.0876585366,41.1383414634,41.2063414634,41.3130243902,41.478195122,41.7162439024,42.0514634146,42.5016341463,43.0621219512,43.7142682927,44.439,45.2047804878,45.9731463415,46.7117317073,47.3931707317,48.0035121951,48.538804878,49.0070487805,49.4357317073,49.8473902439,50.2510243902,50.6541707317,51.0593170732
Albania,ALB,62.2543658537,63.2734634146,64.1628536585,64.887097561,65.438195122,65.8273902439,66.0893170732,66.2872195122,66.4749512195,66.6816097561,66.9325853659,67.2388780488,67.5859512195,67.9579512195,68.3483414634,68.7412195122,69.1155121951,69.4561707317,69.7542439024,70.0096585366,70.2359756098,70.4544634146,70.6851219512,70.9373902439,71.2065365854,71.4712195122,71.6975609756,71.8619512195,71.9532926829,71.9785853659,71.9573170732,71.9184146341,71.900804878,71.9358536585,72.0419512195,72.2360243902,72.5274146341,72.898097561,73.3265853659,73.7933902439,74.2720731707,74.7342195122,75.1579512195,75.5293658537,75.839,76.0893902439,76.2905365854,76.4648536585,76.6323170732,76.8018780488,76.9785121951,77.1632195122
Arab World,ARB,46.7626948488,47.3886012552,48.0024362501,48.6075914026,49.2051183979,49.7914045679,50.3589541649,50.9054131477,51.4334853056,51.9513289996,52.47099594,53.0083619442,53.5723436248,54.1636761327,54.7769877861,55.4033461995,56.0311575473,56.6507627791,57.2611954311,57.8695923175,58.4883194622,59.1291505644,59.7955841812,60.4824444102,61.1740084163,61.8525462696,62.4979148776,63.0952038192,63.6349202604,64.1145227734,64.6289938747,65.0062008997,65.2977942828,65.6337067038,65.9689843146,66.343971673,66.6533128508,66.9477297497,67.2097611211,67.4571427239,67.6700618347,67.8696030509,68.0533823947,68.2280907596,68.4106276915,68.5959457814,68.7941758866,68.9936467526,69.1879394678,69.3815970406,69.5716899534,69.758532648
United Arab Emirates,ARE,52.2432195122,53.2865609756,54.327,55.3635121951,56.3925853659,57.4057073171,58.3918536585,59.3404634146,60.2440487805,61.0985853659,61.9010487805,62.6549512195,63.3663170732,64.0431219512,64.688902439,65.3051463415,65.8933414634,66.454,66.9886097561,67.4971707317,67.983195122,68.4451707317,68.884097561,69.3014878049,69.6983170732,70.0766341463,70.4363902439,70.7781219512,71.1048292683,71.418,71.7206341463,72.0137560976,72.2993414634,72.577902439,72.8519268293,73.121902439,73.3878292683,73.6497317073,73.9055853659,74.157902439,74.4056829268,74.6494634146,74.8892195122,75.1244878049,75.3557317073,75.5819512195,75.8001219512,76.0112195122,76.2147560976,76.4107073171,76.5986097561,76.781
Argentina,ARG,65.2155365854,65.3385121951,65.4326097561,65.5093902439,65.5824146341,65.6686829268,65.7822439024,65.9300243902,66.1134878049,66.335097561,66.5908292683,66.8731219512,67.1679512195,67.4653170732,67.7586585366,68.0479512195,68.3367073171,68.6294390244,68.9266341463,69.2243170732,69.5144878049,69.7866585366,70.0353170732,70.257,70.454195122,70.6313902439,70.7990731707,70.9677560976,71.145902439,71.3375365854,71.5436585366,71.7632926829,71.9889512195,72.2156585366,72.4413902439,72.6646097561,72.8853170732,73.1039756098,73.3200731707,73.5341219512,73.7456585366,73.9536829268,74.1587804878,74.3599512195,74.5577317073,74.7516585366,74.9412195122,75.126902439,75.308195122,75.487097561,75.6635609756,75.8386097561
Armenia,ARM,65.8634634146,66.2843902439,66.7098536585,67.1378536585,67.5654146341,67.9915365854,68.4147317073,68.8304878049,69.2292682927,69.6000487805,69.9242682927,70.1828780488,70.3673414634,70.4796585366,70.5263414634,70.5319268293,70.5294146341,70.542902439,70.5829756098,70.6412682927,70.6845365854,70.6616097561,70.5355121951,70.2901463415,69.9356829268,69.5,69.0242926829,68.5675609756,68.182097561,67.8995121951,67.747804878,67.7382926829,67.8533414634,68.0695609756,68.3766585366,68.7635609756,69.2168536585,69.7164146341,70.2402195122,70.767097561,71.2765365854,71.7556585366,72.2022439024,72.6109756098,72.9749268293,73.2885609756,73.5498292683,73.7646341463,73.9438780488,74.0930487805,74.2196585366,74.332195122
Antigua and Barbuda,ATG,61.7827317073,62.1954146341,62.5985365854,62.9925853659,63.3785853659,63.7560731707,64.1255609756,64.4880731707,64.8421219512,65.189195122,65.5293414634,65.8620243902,66.1882682927,66.508,66.8217804878,67.1300731707,67.4333902439,67.7307560976,68.0226341463,68.3095365854,68.5919756098,68.8689512195,69.1409268293,69.4079268293,69.6704634146,69.9285121951,70.1825609756,70.4326341463,70.6797317073,70.9228292683,71.1629512195,71.4005853659,71.6347073171,71.8658536585,72.093,72.3176829268,72.5388536585,72.7575609756,72.9737804878,73.1860243902,73.3972926829,73.6060731707,73.8133902439,74.0192195122,74.2220487805,74.4218536585,74.616097561,74.8047804878,74.9868780488,75.1624146341,75.333902439,75.5003658537
